name,chime_event_id,ra_frb,dec_frb,b_err,a_err,theta,tags,frb_survey,DM,include,Localization & PATH note,HG/Science note,DESI quicklook
FRB20231007A,325515646,185.384974,79.8851437,0.0005555555556,0.006812817301,4.24326327,CHIME-KKO,CHIME/FRB,819.666626,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=185.384974005139&dec=79.885143700195&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231223C,347082860,259.5446492,29.49793687,0.0005555555556,0.003148474211,9.717681959,CHIME-KKO,CHIME/FRB,179.5421753,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=259.544649177547&dec=29.4979368707501&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231209A,343537552,180.9095146,50.07879183,0.0005555555556,0.006077783962,9.610028269,CHIME-KKO,CHIME/FRB,1232.128418,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=180.909514598069&dec=50.0787918314104&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231025B,330976597,270.788071,63.989077,0.000556,0.007113,9.952713,CHIME-KKO,CHIME/FRB,368.3849487,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=270.788071&dec=63.989077&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231025C,330838705,71.977226,33.237985,0.000556,0.004295,9.228786,CHIME-KKO,CHIME/FRB,509.9159546,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=71.977226&dec=33.237985&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231126A,339069867,21.816031,89.288944,0.000556,0.016421,-6.849878,CHIME-KKO,CHIME/FRB,673.2831421,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=21.816031&dec=89.288944&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230928A,322840327,104.407554,60.572895,0.000556,0.003102,7.425967,CHIME-KKO,CHIME/FRB,533.7577515,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=104.407554&dec=60.572895&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231017A,328261629,346.754287,36.652682,0.000556,0.003645,9.407498,CHIME-KKO,CHIME/FRB,344.1224976,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=346.754287&dec=36.652682&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231102A,333031657,228.837416,56.799192,0.000556,0.004169,9.845774,CHIME-KKO,CHIME/FRB,906.2027588,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=228.837416&dec=56.799192&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231223B,347027446,78.699512,48.754654,0.000556,0.023381,8.808987,CHIME-KKO,CHIME/FRB,499.4022217,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=78.699512&dec=48.754654&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230926A,321977347,269.124876,41.814304,0.000556,0.00499,8.87811,CHIME-KKO,CHIME/FRB,222.8102264,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=269.124876&dec=41.814304&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231224A,347261948,131.459857,72.912788,0.000556,0.006281,9.712284,CHIME-KKO,CHIME/FRB,682.9881592,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=131.459857&dec=72.912788&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231101A,332593291,135.3942228,0.9417923608,0.0005555555556,0.004671102995,6.406890419,CHIME-KKO,CHIME/FRB,412.057373,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=135.394222783017&dec=0.941792360811069&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231104B,333356311,135.1051605,46.33993496,0.0005555555556,0.009992610684,9.24239229,CHIME-KKO,CHIME/FRB,382.9424438,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=135.105160474006&dec=46.3399349607409&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230918A,319829796,161.0507257,61.1208613,0.0005555555556,0.003226501762,8.435019048,CHIME-KKO,CHIME/FRB,365.9587097,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=161.050725715941&dec=61.1208613044406&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231123A,338403209,82.6232485,4.475540697,0.0005555555556,0.004515251814,6.842796134,CHIME-KKO,CHIME/FRB,302.0675659,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=82.6232485043855&dec=4.47554069667685&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231210B,343770778,59.66792377,27.02745584,0.0005555555556,0.006292447091,9.162237232,CHIME-KKO,CHIME/FRB,505.8722229,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=59.6679237718216&dec=27.0274558352899&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231223A,347052803,206.9735194,16.32939662,0.0005555555556,0.005730543909,8.403755162,CHIME-KKO,CHIME/FRB,866.5740356,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=206.973519423108&dec=16.3293966204971&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231019A,328879027,19.10358084,20.62749783,0.0005555555556,0.008661762164,8.213080787,CHIME-KKO,CHIME/FRB,246.67,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=19.1035808351376&dec=20.6274978324551&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231210A,343712196,13.13263568,16.30105027,0.0005555555556,0.01379573093,3.105943157,CHIME-KKO,CHIME/FRB,482.4185181,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=13.1326356827094&dec=16.3010502671542&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231225A,347465543,135.6029696,33.91857165,0.0005555555556,0.0131964915,9.869471881,CHIME-KKO,CHIME/FRB,646.5944824,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=135.602969574722&dec=33.9185716484329&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231225B,347433921,54.87781005,-3.066187119,0.0005555555556,0.02069607903,5.871652414,CHIME-KKO,CHIME/FRB,227.6627197,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=54.8778100503218&dec=-3.06618711921366&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231019B,329033047,216.531822,44.50831221,0.0005555555556,0.00422376441,9.49540847,CHIME-KKO,CHIME/FRB,909.4377441,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=216.531822035306&dec=44.5083122088528&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231014A,327479591,343.760402,54.49522031,0.0005555555556,0.005489662442,10.65719944,CHIME-KKO,CHIME/FRB,860.9128418,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=343.760401969779&dec=54.4952203147881&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20230923A,321375070,206.6141041,45.40800828,0.0005555555556,0.003837424038,9.461044289,CHIME-KKO,CHIME/FRB,918.3339844,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=206.614104126771&dec=45.408008284816&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231230A,348537586,72.79761078,2.393975025,0.0005555555556,0.02864686397,6.56793619,CHIME-KKO,CHIME/FRB,131.4216309,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=72.797610777701&dec=2.39397502476019&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231118A,337105685,312.3918728,37.92352129,0.0005555555556,0.005724065407,10.07147379,CHIME-KKO,CHIME/FRB,473.1178894,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=312.391872764167&dec=37.9235212912003&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231110A,334942484,8.897104062,15.8371929,0.0005555555556,0.006395915718,8.337175404,CHIME-KKO,CHIME/FRB,448.05,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=8.89710406241075&dec=15.8371929027172&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231202A,341758878,65.03038787,38.63327755,0.0005555555556,0.003663746899,9.048617578,CHIME-KKO,CHIME/FRB,437.1286011,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=65.0303878741242&dec=38.6332775528582&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
FRB20231020A,329248428,76.12080603,72.07888585,0.0005555555556,0.01104741502,11.03999986,CHIME-KKO,CHIME/FRB,267.2913818,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=76.1208060266882&dec=72.0788858507593&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright
