event_id,ra,dec,theta,b_error,a_error,DM,cross_correlation_snr,bb_ra_unc,bb_dec_unc,bb_ra,bb_dec,source_name,ratrue,dectrue
304522001,59.724291581512254,54.221347795177934,16.930197281481743,0.0005555555555555,0.0039388814348157,57.0167732239,44.13486,0.0116404040836875,0.003898042508921,59.72522632304835,54.22131589416306,B0355+54,59.723877457838,54.22053194511266
308984712,227.35555688769267,55.52429775909832,18.591806150931905,0.0005555555555555,0.0090087023793035,19.8143386841,40.727093,0.0178717875043289,0.0089750804989732,227.3627424611824,55.5236885504593,B1508+55,227.3560858,55.52532639
308803721,334.9512486468392,47.91547203626919,15.301199435391116,0.0005555555555555,0.00697982486091,43.497501373291016,41.578243,0.0132816120195892,0.0069350577060899,334.9579023469839,47.914975993806685,B2217+47,334.9503901,47.91479985
307063854,24.82948651690275,58.22668396367391,15.495881589833028,0.0005555555555555,0.0202080420529503,74.0004882812,28.58286,0.0412915514727414,0.0201788285252969,24.773693640244097,58.2303784613133,B0136+57,24.832139094215428,58.24207524362338
308026938,344.4979965657325,59.175412281790045,20.19351229958857,0.0005555555555555,0.0133125319027821,150.8316040039,27.485058,0.0254561536780912,0.0133223301134607,344.5311749787027,59.172069080327766,B2255+58,344.4906913,59.15410523
268348878,83.63136110022953,22.00334050350307,8.788479737772587,0.0005555555555555,0.0038735093550312,57.0167732239,63.115524,0.0072961446930501,0.0038470367660807,83.63110874470004,22.00335014102214,B0531+21,83.63303713239557,22.014502507898445
255670378,329.2585210903258,40.29947014770392,13.239350334979598,0.0005555555555555,0.0066681602303503,69.5523757935,46.551796,0.0111254609650503,0.0066274796783525,329.27453520358296,40.2981341463118,B2154+40,329.25780021290626,40.296131222666965
307050776,348.2867521894373,42.88723251675083,13.229413163256735,0.0005555555555555,0.0079988426460722,17.3880939484,36.655983,0.0121936840043206,0.0079753896990099,348.31223650030125,42.88467066511885,B2310+42,348.2861098283068,42.8869927056819
255781812,251.2522292384251,-3.3594194021470685,6.063310807795893,0.0005555555555555,0.0053688074660995,35.9893112183,57.690655,0.0069281194336712,0.0053568519434852,251.2637361182085,-3.3601499997526085,B1642-03,251.2584994052312,-3.2993328696477144
308524547,305.71040435930763,51.92303778660903,16.886043085460354,0.0005555555555555,0.0050667500360958,22.2405853271,40.136032,0.0119607544231996,0.0050204928524884,305.7165552703221,51.92270878072438,B2021+51,305.70773180226985,51.91403527494639
