3.559856489878782115e-01	3.764056281753734083e+02
6.031648866026231293e-01	2.595490089077777043e+02
8.579160745827347778e-01	1.762488318522354120e+02
1.113464310595710716e+00	1.564891324469353435e+02
1.374039914321364408e+00	1.227699889144838608e+02
1.619154704570298309e+00	1.094772130592908894e+02
1.870686673430271840e+00	9.354013366297236587e+01
2.123290040706380832e+00	7.976197134970456659e+01
2.378144976376236119e+00	6.781878697743269413e+01
2.630489925835516996e+00	5.861390353966615407e+01
2.878653162679494670e+00	4.956022382378573354e+01
3.131144366275339319e+00	4.441139737355786110e+01
3.388159578333816313e+00	3.898091827420761035e+01
3.638741848210948149e+00	3.454350568066609384e+01
3.888315910732085268e+00	3.102266888080844964e+01
4.139052155837465996e+00	2.802736636492947753e+01
4.390305777018236988e+00	2.635525041469867347e+01
4.642172339120373081e+00	2.397001904263937888e+01
4.894678666149941293e+00	2.208904699967721541e+01
5.147269052361176378e+00	2.048630425927903431e+01
5.398003206656323272e+00	1.835621658341723261e+01
5.647798235368590269e+00	1.686055597577006537e+01
5.900534302989873581e+00	1.565999774827008295e+01
6.151460297009074374e+00	1.458207011295314715e+01
6.402630176204441526e+00	1.317774880215019095e+01
6.655964674748322096e+00	1.248217044890841443e+01
6.908782583105771202e+00	1.173062745164922482e+01
7.159060853508338873e+00	1.080447439359505957e+01
7.409414762591408632e+00	9.982365136104766279e+00
7.659227149364629561e+00	9.280045430323232480e+00
7.911559474606142395e+00	8.913247777361092972e+00
8.163750941790897997e+00	8.246704803052239185e+00
8.415757210439384295e+00	7.830270587498065815e+00
8.667638839289207198e+00	7.413299785459963154e+00
8.918801124864609520e+00	7.007813071605587751e+00
9.170480108345369530e+00	6.545549971960159752e+00
9.420566033467249412e+00	6.165084477239970440e+00
9.671642335271435797e+00	5.854357739703969443e+00
9.923426157758477473e+00	5.535189361153403098e+00
1.017396902749181820e+01	5.288701008455579000e+00
1.042533700753922155e+01	4.991287557912905015e+00
1.067702948358784276e+01	4.852278115255207247e+00
1.092969337256462303e+01	4.481838625952152100e+00
1.118211872033766419e+01	4.277759972248947662e+00
1.143346516925797296e+01	4.056157821260688578e+00
1.168350508557724687e+01	3.902483408305397194e+00
1.193379937775929100e+01	3.780679156055187118e+00
1.218553055762879112e+01	3.638904511464461589e+00
1.243711650801278878e+01	3.461452121054781728e+00
1.268867268647359303e+01	3.307943613920113712e+00
1.294075027177769144e+01	3.197428763952377739e+00
1.319267287020158363e+01	3.020287427985586692e+00
1.344470571782862756e+01	2.890676857698046831e+00
1.369480150283709641e+01	2.743635198336543901e+00
1.394591277066507828e+01	2.654170647223018875e+00
1.419764645764527167e+01	2.545575094583753195e+00
1.444766774168416212e+01	2.447808585281345817e+00
1.469906835825429070e+01	2.339902173946950104e+00
1.495059118111036511e+01	2.255217268349542614e+00
1.520261612590052991e+01	2.160288326631540468e+00
1.545415944503929495e+01	2.069548511204823082e+00
1.570456072545780124e+01	1.996630629680139934e+00
1.595705800128773966e+01	1.938547893453013593e+00
1.620829297830731619e+01	1.849506534164901961e+00
1.645966591028190962e+01	1.811854760126807795e+00
1.671125708846596325e+01	1.758956561272055907e+00
1.696160259490052624e+01	1.719789836445855480e+00
1.721370276108077135e+01	1.657657935211011457e+00
1.746543424102250341e+01	1.608577849204726240e+00
1.771598473288305442e+01	1.548501707904714308e+00
1.796653767411944003e+01	1.514522932204459993e+00
1.821765658501893270e+01	1.473282024721799255e+00
1.847053788120423334e+01	1.421801015226039189e+00
1.872257696809484173e+01	1.388536115377021485e+00
1.897394097105746269e+01	1.352489694124292097e+00
1.922542454726159988e+01	1.317622139583330965e+00
1.947607703355479103e+01	1.279370265023041187e+00
1.972678839839982601e+01	1.235671208062746107e+00
1.997802698857814363e+01	1.208699073075338637e+00
2.022863620534168660e+01	1.164383437119008935e+00
2.047969598507238231e+01	1.139030990171056468e+00
2.073250439107362553e+01	1.110607028964768261e+00
2.098435855211640089e+01	1.077907868396177138e+00
2.123502923393334640e+01	1.053237972060902861e+00
2.148629411178690773e+01	1.022059454230640485e+00
2.173831825513516591e+01	1.001198132134548446e+00
2.198972260956887226e+01	9.779402094731808326e-01
2.223974971000711420e+01	9.542590305058228362e-01
2.249141870643862973e+01	9.284028271948161493e-01
2.274404614890906373e+01	9.055642641191642417e-01
2.299521835768831579e+01	8.823121444698720506e-01
2.324620084136223852e+01	8.736092239426925810e-01
2.349757798664387209e+01	8.510032015029800334e-01
2.374870488118759937e+01	8.303281659216449340e-01
2.399988781917473091e+01	8.128534096009375487e-01
2.425071646049711305e+01	7.968396021493080461e-01
2.450187830577813841e+01	7.819280196956926998e-01
2.475391093216606109e+01	7.671897062512619270e-01
2.500524226975159792e+01	7.448807062433843162e-01
2.525610980153284402e+01	7.316159451171948547e-01
2.550801425092822328e+01	7.153421446756662583e-01
2.575943113325822864e+01	7.018383077956036331e-01
2.601074166866445125e+01	6.855879960407319507e-01
2.626234447079615464e+01	6.706581816711547628e-01
2.651347712943701751e+01	6.525969534490622115e-01
2.676474177984877656e+01	6.391920552005156964e-01
2.701628079430242479e+01	6.305441794851958104e-01
2.726734205837282232e+01	6.166355338652957929e-01
2.751837013544679422e+01	6.046537913724466806e-01
2.776937726815812724e+01	5.935549734655446441e-01
2.802070160973895341e+01	5.789777029504927786e-01
2.827249982643487058e+01	5.696818844999519404e-01
2.852407603869968966e+01	5.595548667857328518e-01
2.877567300468570721e+01	5.501679909415283509e-01
2.902733523039245256e+01	5.399090935325263629e-01
2.927861073083739996e+01	5.304034532382667644e-01
2.953003196193969160e+01	5.215373320095367804e-01
2.978106336846375157e+01	5.111989641447818311e-01
3.003148440777084716e+01	5.050784278446188713e-01
3.028303386126418673e+01	4.924481362501638149e-01
3.053456493440382857e+01	4.859093571438319326e-01
3.078585183944906944e+01	4.796209928462901728e-01
3.103757946070165730e+01	4.717311072625102741e-01
3.128931656795834826e+01	4.671270680058615121e-01
3.154125974608096428e+01	4.591969144079987020e-01
3.179158626791808828e+01	4.533921281805254333e-01
3.204196438636942190e+01	4.458694186526471759e-01
3.229345624690945016e+01	4.403169191068269650e-01
3.254491795349546379e+01	4.345739797716928199e-01
3.279661199584414533e+01	4.242146211319197113e-01
3.304781054557115993e+01	4.182386181977953421e-01
3.329958828032162188e+01	4.138063341992762600e-01
3.355183723684311303e+01	4.071925537133617157e-01
3.380253855881218072e+01	4.010942641786904295e-01
3.405313147025059095e+01	3.954706312964946791e-01
3.430479305560803738e+01	3.888075191016572840e-01
3.455623390824965924e+01	3.857782344548524311e-01
3.480735498195039668e+01	3.789794426021077522e-01
3.505856438430107858e+01	3.727041477616581111e-01
3.531001549359893943e+01	3.682447651063698313e-01
3.556133107357548084e+01	3.623741412153719810e-01
3.581233698845250757e+01	3.556626698144448873e-01
3.606382608666838507e+01	3.521127148865780265e-01
3.631533331237931606e+01	3.465194181475578228e-01
3.656697642527945646e+01	3.421354931874029393e-01
3.681852327087045751e+01	3.374515614497394234e-01
3.706973766105884494e+01	3.328063496312901881e-01
3.732129678941971207e+01	3.288327376500562726e-01
3.757306314229551703e+01	3.241350314495498597e-01
3.782389924159279104e+01	3.199970146102823487e-01
3.807464007418068519e+01	3.164688254599506978e-01
3.832565302212735503e+01	3.097095470409774176e-01
3.857740378043642693e+01	3.075629949086702286e-01
3.882942253427300017e+01	3.041467785646825295e-01
3.908032307380011616e+01	3.014213111394407063e-01
