,frb_ra,frb_dec,DM,primary_z_spec,gal_b,gal_l,repeater,offset_kpc,R_eff_kpc,mass_10,sfr,log_ssfr,M_r,u_minus_r,metallicity,DM_NE2001,tau_NE2001_600,DM_YT20,dm_igm,DM_host_restframe,primary_mag,extinction_mags,frb_ra_err,frb_dec_err,a_error,b_error,theta,frb_coarse_ra,frb_coarse_dec,frb_ra_err_coarse,frb_dec_err_coarse,int,MJD,Width,SNR,poserr,DM_eg,Telescope,chime_event_id,ra_frb,dec_frb,b_err,a_err,tags,frb_survey,include,locnote,hgnote,desi_cutout,primary_id,secondary_id,primary_ra,primary_dec,primary_P_Ox,primary_z_phot_median,primary_z_phot_l95,primary_z_phot_u95,secondary_ra,secondary_dec,secondary_P_Ox,secondary_z_phot_median,secondary_z_phot_l95,secondary_z_phot_u95,secondary_z_spec,secondary_mag,l_prs_3ghz,primary_z_spec_source,flux,flux_err,fluence,fluence_err,dm_struct
95,,,312.581,0.2115,-17.816449132123573,158.81664054389282,,,,,,,-20.1832027730032,,,85.1562,0.0060941358024691,33.3283560105092,182.73035147681188,9.38183451314812,21.7745990753173,1.795596403558393,,,,,9.909355,,,,,,,,,,,,306528286.0,54.664564,33.159296,0.000556,0.003393,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=54.664564&dec=33.159296&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 147790546649113381,Pan-STARRS 147760546563249532,54.6649046,33.16066432,0.951930573919901,0.3192104,0.0,0.644545759030286,54.65632594,33.14076205,2.25750101508312e-08,-1.0,-1.0,-1.0,-1.0,20.0361995697021,$<8\times10^{29}$,Keck-2023B-3,43.88,4.41,37.07,3.82,312.51
96,,,222.8102264,0.0553,27.48398832577433,68.23528265660796,,,,,,,-21.665569140818818,,,52.62,0.0022638888888888,43.99948073846618,46.22201183003261,75.7781994044359,15.458912,0.0900315560474441,,,,,8.87811,,,,,,,,,,,,321977347.0,269.124876,41.814304,0.000556,0.00499,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=269.124876&dec=41.814304&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907735417918096,DECaL 9907735417918129,269.124186336877,41.8099992472618,0.995846999602502,0.0584751665592193,0.0354570057243108,0.0814933273941278,269.127482115693,41.8135899574552,0.0020463987089983,0.0828924924135208,0.0,0.3101043254137039,0.0,20.396406,$ 4\times10^{28}$,Lick-2024A-1,26.78,2.78,28.41,3.08,222.77
97,,,188.8427887,0.0713,44.35315364395239,57.16529628606872,,,,,,,-19.832887168536644,,,33.4704,0.0009305555555555,39.13591688835572,59.82426717791754,52.6577099166683,17.81934,0.04169403471163,,,,,10.48241692,,,,,,,,,,,,325140573.0,246.0280041,35.44871213,0.0005555555556,0.003164149154,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=246.0280040755&dec=35.4487121287435&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907733567310903,DECaL 9907733567310887,246.027571915643,35.4469885451962,0.98462411658151,0.104210652410984,0.0667608641088008,0.1416604407131672,246.02618282296,35.4458832751524,0.0052047450371387,0.5525639057159424,0.0,1.115426480770111,0.0,22.138416,$<7\times10^{28}$,Lick-2024A-1,221.19,22.13,60.02,6.05,189.39
98,,,186.4165344,0.0783,-20.942985636399055,127.22869984120946,,,,,,,-20.077385338980772,,,70.3502,0.0039791666666666,35.02813768454709,65.81572487656828,14.117102697657995,17.9237003326416,0.1767526249580172,,,,,13.73469531,,,,,,,,,,,,326456063.0,18.2411005,41.74909795,0.0005555555556,0.003193388357,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=18.2411005031846&dec=41.7490979473684&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 158090182417819186,Pan-STARRS 158120182416650397,18.24170617,41.74899511,0.991332668158406,0.07240619,0.0486153438595075,0.0961970361404924,18.24179007,41.76653604,3.12330330952086e-08,-1.0,-1.0,-1.0,-1.0,19.2996006011962,$<1\times10^{29}$,Keck-2023B-3,129.53,12.96,58.32,5.86,186.30
99,,,344.1224976,0.245,-21.651900737590765,100.60979893090294,,,,,,,-20.483346112446394,,,64.5507,0.0035316358024691,39.15779087039661,212.8370658365547,22.150153327749923,20.3647003173828,0.3262334139362609,,,,,9.407498,,,,,,,,,,,,328261629.0,346.754287,36.652682,0.000556,0.003645,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=346.754287&dec=36.652682&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 151973467535638727,Pan-STARRS 151963467484361364,346.75331402,36.64844663,0.918164518122892,0.25075325,0.1056690979370088,0.3958374020629912,346.74848156,36.63395844,3.81261955834066e-07,-1.0,-1.0,-1.0,-1.0,21.0354995727539,$<1\times10^{30}$,Lick-2024B-1,33.6,3.37,8.19,0.86,344.19
100,,,368.3849487,0.3238,29.433995109148803,93.43323971732984,,,,,,,-20.370589290315767,,,48.5887,0.001841049382716,37.73107173420525,284.7451541157573,-2.0244577352791775,20.929941,0.0850875301339928,,,,,9.952713,,,,,,,,,,,,330976597.0,270.788071,63.989077,0.000556,0.007113,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=270.788071&dec=63.989077&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907740469102043,DECaL 9907740469102130,270.786050004485,63.9855680327795,0.9252945761548,0.3643682897090912,0.2244441360235214,0.504292443394661,270.798141894239,64.0078341712766,0.0015828501168216,0.8600261211395264,0.3673417270183563,1.3527105152606964,0.0,22.921728,$<2\times10^{30}$,V/147/sdss12,5.97,0.64,5.23,0.61,368.66
101,,,302.0675659,0.0729,-15.742749926584564,199.30944205140392,,,,,,,-20.161603709458106,,,89.7486,0.0070841049382716,33.82146042129261,61.18630552571421,109.34029262092754,18.2943000793457,0.7947853400278461,,,,,6.842796134,,,,,,,,,,,,338403209.0,82.6232485,4.475540697,0.0005555555556,0.004515251814,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=82.6232485043855&dec=4.47554069667685&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 113360826227259720,Pan-STARRS 113360826213986510,82.62263245,4.47438422,0.955909515968446,0.06860938,0.0508461856385368,0.0863725743614631,82.62160756,4.47172376,0.0261723594285503,-1.0,-1.0,-1.0,-1.0,21.167100906372,$<9\times10^{28}$,Lick-2024B-1,52.66,5.31,56.84,5.85,302.06
102,,,332.4,0.1079,73.22400427801314,105.68523472327594,,,,,,,-21.312791414146236,,,25.0063,0.0004310185185185,31.32360798116683,91.3124592319318,166.76381693916542,17.306005,0.0551673322459196,,,,,9.904935674,,,,,,,,,,,,339589360.0,199.5782006,42.9927075,0.0005555555556,0.008303263977,CHIME-KKO,CHIME/FRB,yes,,Potential PRS candidate; potential repeater of FRB20191106C,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=199.578200643526&dec=42.9927074964711&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907735753852365,DECaL 9907735753852318,199.580129488901,42.9997130685679,0.984675201253371,0.1168547719717025,0.0732319019734859,0.1604776419699192,199.57488012743,42.9791717768237,0.0050841803421059,0.4944689869880676,0.4010461121797561,0.5878918617963791,0.0,21.445442,$ 2\times10^{29}$,Lick-2024A-1,2.77,0.32,67.68,6.87,331.61
103,,,169.4328156,0.119,-22.770232165518152,163.0405267920158,,,,,,,-19.794694725196692,,,69.9521,0.0034837962962962,32.06917495802895,100.93111591714094,-29.95493769005353,19.4293994903564,0.4321761247180953,,,,,0.5162121942,,,,,,,,,,,,341477821.0,54.58929449,26.81767204,0.0005555555556,0.005631256977,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=54.5892944872743&dec=26.8176720423103&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 140170545876545920,Pan-STARRS 140170545844928816,54.58760125,26.81284828,0.911080581485557,0.17583069,0.1384428074924542,0.2132185725075458,54.58445839,26.81530353,0.0037750392513322,-1.0,-1.0,-1.0,-1.0,20.7656002044677,-,GN-2024A-3,35.13,3.53,10.83,1.15,169.42
104,,,222.0,0.0644,65.92814648713247,97.62374667675148,,,,,,,-22.032804066863193,,,29.8287,0.0005581790123456,32.003043283128434,53.95356021366075,99.78832816911952,15.397451,0.051133918000152,,,,,9.486635972,,,,,,,,,,,,342256558.0,207.9990337,48.11599668,0.0005555555556,0.007262190243,CHIME-KKO,CHIME/FRB,yes,,Repeater of FRB 20190303A associated with a galaxy merger,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=207.999033710675&dec=48.11599668345&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907737081938383,DECaL 9907737081938344,207.99940291617,48.120566174051,0.976179363187878,0.0489961393177509,0.0299281626939773,0.0680641159415245,207.996492040892,48.1247489898779,0.0186740383472166,0.0721807107329368,0.0482528377324342,0.0961085837334394,0.0,15.903781,$-^\dagger$,Lick-2024A-1,4.66,0.55,25.53,2.71,220.96
105,,,457.7516785,0.0659,27.481898130724726,161.0581636545957,,,,,,,-21.53578533218407,,,59.1359,0.0023827160493827,31.3314263503122,55.2298008580644,292.76156421017305,16.117691,0.222089096411383,,,,,11.32807125,,,,,,,,,,,,342760050.0,112.4428447,56.25627381,0.0005555555556,0.007695738694,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=112.442844732263&dec=56.256273806065&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 9907738985038273,DECaL 9907738985038298,112.443122504929,56.2532448346757,0.989185886850516,0.0625003799796104,0.0274832807481288,0.097517479211092,112.445914654703,56.2632887189811,0.0016010579098779,0.5246831178665161,0.1998302638530731,0.8495359718799591,0.0,22.473612,$<5\times10^{28}$,2000AJ....120.2338R,9.88,1.13,179.43,18.23,457.67
106,,,179.5421753,0.1059,32.08016162404433,52.31072014041496,,,,,,,-22.114896619026126,,,47.8659,0.0019637345679012,45.91327926465718,89.58232369955014,-3.453592245417604,16.498093,0.0928362070196331,,,,,9.717681959,,,,,,,,,,,,347082860.0,259.5446492,29.49793687,0.0005555555556,0.003148474211,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=259.544649177547&dec=29.4979368707501&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 10995634357144446,DECaL 10995634357144422,259.544431723936,29.4958476959468,0.953419550835349,0.12347412109375,0.0928027629852294,0.1541454792022705,259.543150414502,29.4950802406685,0.0175593651773831,0.109989196062088,0.0,0.5496277511119843,-99.0,20.005682,$<2\times10^{29}$,Lick-2024A-1,68.07,6.81,287.17,28.75,165.77
107,,,198.54776,0.019,-26.443351613340827,135.34490734266618,,,,,,,-20.52594941777828,,,58.1803,0.0024791666666666,32.7525520611222,15.73497661209848,90.16676283295322,14.27,0.1385531974313975,,,,,10.05299881,,,,,,,,,,,,348285021.0,26.46782524,35.11291775,0.0005555555556,0.003174812364,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=26.4678252438447&dec=35.1129177472066&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,Pan-STARRS 150130264673598907,Pan-STARRS 150120264654942911,26.466055,35.110907,0.998037520578779,-1.0,-1.0,-1.0,26.46531873,35.10182849,0.0011659237137412,-1.0,-1.0,-1.0,-1.0,21.0125999450683,$<8\times10^{26}$,2022ApJS..261...21Y,211.23,21.13,95.47,9.58,-
108,,,131.4216309,0.02981,-25.23869054921793,195.8701533747036,,,,,,,-21.17818173754894,,,61.5756,0.0026126543209876,31.60284202038565,24.75735905132779,13.09545433457293,14.64703,0.172420152571468,,,,,6.56793619,,,,,,,,,,,,348537586.0,72.79761078,2.393975025,0.0005555555556,0.02864686397,CHIME-KKO,CHIME/FRB,yes,,,https://www.legacysurvey.org/viewer%20dr9%20photo%20z?ra=72.797610777701&dec=2.39397502476019&layer=ls-dr9&zoom=15&sga-parent&photoz-dr9&targets-dr9-main-dark&targets-dr9-main-bright&targets-dr9-main-sec-dark&targets-dr9-main-sec-bright,DECaL 10995476588397444,DECaL 10995478098347116,72.7891224909596,2.36805977005938,0.917597016837521,0.023856327,0.01268939,0.069874525,72.8019089334843,2.43334428181595,0.013202522923754,0.2756846,0.16290918,0.44867322,-99.0,20.833185,$<9\times10^{27}$,2003AJ....126.2152R,6.59,1.05,37.1,4.37,-
