3.559856489878782115e-01	3.761586654318004435e+02
6.031648866026231293e-01	2.601200470066557386e+02
8.579160745827347778e-01	1.767427680037796165e+02
1.113464310595710716e+00	1.579052217555837672e+02
1.374039914321364408e+00	1.241406695224666663e+02
1.619154704570298309e+00	1.104529678033119637e+02
1.870686673430271840e+00	9.518134900606973758e+01
2.123290040706380832e+00	8.145354434975354252e+01
2.378144976376236119e+00	6.937247663372458817e+01
2.630489925835516996e+00	6.007740881563811541e+01
2.878653162679494670e+00	5.170948911676072868e+01
3.131144366275339319e+00	4.628117466395843138e+01
3.388159578333816313e+00	4.104786779065618418e+01
3.638741848210948149e+00	3.657833163481178218e+01
3.888315910732085268e+00	3.327484708344680797e+01
4.139052155837465996e+00	3.032851082299978884e+01
4.390305777018236988e+00	2.861766198754888535e+01
4.642172339120373081e+00	2.617831312656191756e+01
4.894678666149941293e+00	2.435149915873700621e+01
5.147269052361176378e+00	2.257925053968181928e+01
5.398003206656323272e+00	2.034595392042329820e+01
5.647798235368590269e+00	1.867296973649875724e+01
5.900534302989873581e+00	1.739253615542773090e+01
6.151460297009074374e+00	1.618509637368297049e+01
6.402630176204441526e+00	1.466952296057441885e+01
6.655964674748322096e+00	1.393136690925051369e+01
6.908782583105771202e+00	1.310790051618141305e+01
7.159060853508338873e+00	1.207018457392948818e+01
7.409414762591408632e+00	1.106160399491990631e+01
7.659227149364629561e+00	1.036314913039353236e+01
7.911559474606142395e+00	9.977666809385574709e+00
8.163750941790897997e+00	9.189956102039968044e+00
8.415757210439384295e+00	8.748991975510460151e+00
8.667638839289207198e+00	8.313521826595634323e+00
8.918801124864609520e+00	7.840515451399331148e+00
9.170480108345369530e+00	7.352871816941727090e+00
9.420566033467249412e+00	6.905782420701237712e+00
9.671642335271435797e+00	6.591357784572021039e+00
9.923426157758477473e+00	6.264509319923277531e+00
1.017396902749181820e+01	5.993475485935048752e+00
1.042533700753922155e+01	5.657885203153948162e+00
1.067702948358784276e+01	5.574629531383110681e+00
1.092969337256462303e+01	5.169271959125224747e+00
