chime_event_id,TNS,DM,ra,dec,wfall,gal_b,gal_l,DM_YT20,DM_NE2001,Note,RM,pol_fraction,Stokes_parameters_corrected,fdf_clean,burst_profile,pol_pipeline_note,tau_scatt_ms,tau_scatt_unc_ms,tau600_ne2001,fitburst_plot,fitburst_type,fitburst_note,P_Ox,hg_notes,redshift,simbad_link,redshift_info,hg_id,redshift_err,NE2001 scattering time @ 600MHz,max_z_of_R1_host_mr=23,max_z_from_DM
325634353,20231008A,220.38,347.2750477,48.72042195,,-10.772690820017097,106.07331503274388,43.2570713115478,125.3177,"R117, ignore. ",,,,,,Ignore. ,,,,,,,0.9243631945,,0.0771,This is 20220912A (R117),zphot= 0.17119311 +- 0.0463336810818657 PS1_STRM_WISE; Ravi et al 2023 zspec = 0.0771,Pan-STARRS 166443472702098523,0.0001,0.01842592592592593,0.15384615384615385,0.15384615384615385
321375070,20230923A,918.33,206.6141041,45.40800828,,68.68850643733089,95.5906614828815,31.969190301040687,28.2567,,,,,,,,,,,,,,0.702269302,,0.481,,"0.140, 0.964, Note: PATH has missed a big galaxy -- re-calculate PATH probability and add it back in. I'll assume it is the middle of the three galaxies it is overlapping (z = 0.9, 0.4,0.1)",DECaL 8797229689078223,0.068,0.0005152777777777778,0.19732441471571907,0.19732441471571907
325140573,20231005A,188.8,246.0280041,35.44871213,,44.35315364395239,57.1652962860687,39.135916888355645,33.4704,"Very bright, lowz, low DM. Can do DM budgeting v well. ",,,,,,"Highish RM.. Are scat and RM coming from the same (local) media? Peak at 0 in FDF is always gonna be there, because it doesn't fit out inst delay. ",,,,,,,0.9972578398,,0.1032,,V/147/SDSS12,,0.0001,0.0009305555555555558,0.19732441471571907,0.19732441471571907
339589360,20231128A,332.4,199.5782006,42.9927075,,73.22400427801315,105.68523472327593,31.32360798116619,25.0063,"R34, check with Alice. See what host looks like for this one. Run Adaeze's code to see if there is a VLASS source here. ",,,,,,,,,,,,,0.9888841592,,0.1078,,source=J/ApJS/223/20/spec (SDSS),,0.0001,0.00043101851851851857,0.19732441471571907,0.19732441471571907
342256558,20231204A,222.0,207.9990337,48.11599668,,65.92814648713247,97.62374667675145,32.0030432831291,29.8287,"R17, check with Alice. See what host looks like for this one. Run Adaeze's code to see if there is a VLASS source here.",,,,,,,,,,,,,0.9792129232,,0.0639,,Lordrick-z. No PATH plot on Github yet as of 4/24/2024,,0.0001,0.0005581790123456792,0.19732441471571907,0.19732441471571907
347082860,20231223C,179.54,259.5446492,29.49793687,,32.08016162404433,52.31072014041495,45.913279264657234,47.8659,,,,,,,,,,,,,"Run at dsamp 1, there is enough SNR. ",0.9999122394,,0.1059,,SDSS 2016SDSSD.C...0000,,0.0001,0.001963734567901235,0.1939799331103679,0.1939799331103679
348537586,20231230A,131.42,72.79761078,2.393975025,,-25.23869054921793,195.8701533747036,30.9417263927744,61.5756,Analyse this one. Near-by FRB with P(O|X) underestimated. ,,,,,,,,,,,,,0.8384487576,,0.0298,https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=72.78908466d+%2B2.36809089d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList=,specz = 0.0298 from 1991RC3.9.C...0000d,Pan-STARRS 110840727890932146,0.002,0.0026126543209876547,0.18729096989966554,0.18729096989966554
313479875,20230828A,377.3,22.28681752,34.42965765,,-27.798006782946466,131.71698913973717,32.78478248787566,55.2382,,,,,,,,,,,,,,0.464,,0.106,,from SDSS; https://www.legacysurvey.org/viewer?ra=259.5444&dec=29.4959&layer=ls-dr9&zoom=16 ,Pan-STARRS 149310222853880757,0.0001,0.002229166666666667,0.1939799331103679,0.1939799331103679
300895079,20230702A,598.9,132.124448,26.38951443,,36.327814990144574,198.85912237235448,29.812420897673746,49.1324,,,,,,,,,,,,,,0.8560573789,,0.5009,,z from F4; V/154/sdss16,DECaL 8796124371222879,0.0001,0.0014313271604938275,0.1939799331103679,0.1939799331103679
281936786,20230409B,408.8,148.5490301,61.1478697,,44.96636068350366,151.38434889256712,30.25675985008337,39.075,,,,,,,,,,,,,,0.6946104292,,0.3002,,0.25446463 +- 0.1105314478914; from PS1_STRM; 0.3002 from F4PZ website; 0.3002 specz from SDSS,Pan-STARRS 181381485505907375,0.0001,0.0009552469135802471,0.19732441471571907,0.19732441471571907
