2.238000000000000000e+03,1.348000000000000000e+03,2.282948589691918642e+02,1.505846504842085487e-01,6.600000000000000000e+01,5.687983616000000000e+09,6.358123151360000000e+11,1.303837776184082031e+00
2.939000000000000000e+03,3.610000000000000000e+02,1.345152817627688364e+02,9.428090415820634951e-02,2.950000000000000000e+02,9.496924800000000000e+08,2.251801231360000000e+11,6.121507287025451660e-02
6.880000000000000000e+02,9.330000000000000000e+02,1.382914620001827188e+02,1.242259987499883256e-01,1.800000000000000000e+02,1.895515008000000000e+09,3.582848532480000000e+11,2.227038890123367310e-01
3.810000000000000000e+02,1.332000000000000000e+03,3.945316661695873108e+02,3.367175148507369625e-02,5.000000000000000000e+00,3.836356198400000000e+10,4.807707328512000000e+12,1.511629939079284668e+00
3.596000000000000000e+03,2.253000000000000000e+03,7.718575487313921712e+01,1.428571428571428492e-01,3.350000000000000000e+02,7.717180800000000000e+08,1.707416289280000000e+11,6.222423538565635681e-02
3.601000000000000000e+03,3.025000000000000000e+03,9.297504513626662970e+01,1.578947368421052544e-01,1.220000000000000000e+02,3.078484480000000000e+09,4.237173719040000000e+11,2.526728436350822449e-02
2.369000000000000000e+03,3.127000000000000000e+03,9.485797497411884649e+01,5.000000000000000278e-02,1.370000000000000000e+02,3.043542784000000000e+09,4.779756748800000000e+11,0.000000000000000000e+00
3.560000000000000000e+02,2.171000000000000000e+03,4.173339000826309189e+02,1.470826818682967330e-01,1.000000000000000000e+00,5.339407564800000000e+10,4.980857110528000000e+12,4.270956039428710938e+00
2.500000000000000000e+03,1.940000000000000000e+02,6.469983621191178713e+01,1.178511301977579334e-01,4.510000000000000000e+02,5.210273280000000000e+08,1.186941747200000000e+11,1.462213695049285889e-02
3.293000000000000000e+03,2.267000000000000000e+03,8.486038704427041068e+01,1.597191412499849861e-01,3.600000000000000000e+02,6.828417280000000000e+08,1.609119498240000000e+11,9.934019297361373901e-02
9.750000000000000000e+02,2.640000000000000000e+03,1.795584238886944775e+02,6.428243465332250661e-02,9.100000000000000000e+01,3.527346432000000000e+09,6.454748774400000000e+11,9.546966850757598877e-02
1.330000000000000000e+02,3.276000000000000000e+03,2.838141075275403864e+02,1.131370849898476055e-01,2.800000000000000000e+01,1.095759360000000000e+10,1.033444261888000000e+12,1.282897114753723145e+00
1.893000000000000000e+03,1.987000000000000000e+03,3.352367779067476050e+01,1.720052290384453675e-01,4.010000000000000000e+02,4.525451840000000000e+08,1.339833139200000000e+11,4.649522900581359863e-02
3.716000000000000000e+03,2.825000000000000000e+03,1.266700601708874814e+02,1.490711984999859852e-01,2.610000000000000000e+02,1.234340480000000000e+09,2.137876561920000000e+11,9.567151218652725220e-02
3.670000000000000000e+03,4.500000000000000000e+02,1.672657817970142844e+02,1.944406936956339094e-01,7.000000000000000000e+01,6.684911616000000000e+09,7.743307776000000000e+11,1.910443305969238281e+00
2.113000000000000000e+03,2.904000000000000000e+03,9.874356955256160973e+01,1.976423537605237202e-01,1.830000000000000000e+02,3.161033728000000000e+09,2.831319040000000000e+11,2.203370779752731323e-01
3.963000000000000000e+03,2.647000000000000000e+03,1.827760081057513162e+02,5.263157894736841813e-02,1.340000000000000000e+02,3.594494720000000000e+09,4.167494205440000000e+11,1.007870674133300781e+00
1.699000000000000000e+03,2.216000000000000000e+03,9.599832047502707155e+01,1.976423537605237202e-01,2.280000000000000000e+02,2.066652160000000000e+09,2.439381483520000000e+11,7.401053905487060547e-01
2.596000000000000000e+03,8.370000000000000000e+02,3.568237161553096257e+02,1.034482758620689641e-01,2.400000000000000000e+01,1.380022476800000000e+10,1.503062392832000000e+12,2.570831060409545898e+00
1.438000000000000000e+03,1.502000000000000000e+03,3.728300090031700620e+01,1.976423537605237202e-01,2.310000000000000000e+02,2.269673728000000000e+09,2.713072435200000000e+11,0.000000000000000000e+00
1.810000000000000000e+03,2.180000000000000000e+03,1.727415855650263268e+02,1.185818491533205676e-01,3.000000000000000000e+00,6.020780441600000000e+10,5.071792766976000000e+12,0.000000000000000000e+00
2.416000000000000000e+03,2.660000000000000000e+03,3.018547590476209166e+02,1.176877882894626220e-01,1.470000000000000000e+02,1.426105856000000000e+09,4.367462891520000000e+11,6.114420890808105469e-01
