chime_event_id,TNS,DM,ra,dec,wfall,Note,RM,pol_fraction,Stokes_parameters_corrected,fdf_clean,burst_profile,pol_pipeline_note,tau_scatt_ms,tau_scatt_unc_ms,tau600_ne2001,fitburst_plot,fitburst_type,fitburst_note,P_Ox,hg_notes,redshift,simbad_link,redshift_info,hg_id,redshift_err
330976597,20231025B,368.62,270.7873297,63.98463133,,,,,,,,"Second peak doesn't have L/I. Could be scattering, or superposition of two bursts avgereaged out the PA and depolarised the second one. Too weak to tell anything for sure. ",,,,,,,0.9388679807,,0.364,https://www.legacysurvey.org/viewer?ra=270.7860&dec=63.9856&layer=ls-dr10&zoom=16&photoz-dr9,z = 0.364 +- 0.07 DR9 zphot; need to run PATH with lower P(U)! It is set to P(U) = 0.1 on chime-ffff-pz,DECaL 8797233725048371,0.07
325634353,20231008A,220.38,347.2750477,48.72042195,,"R117, ignore. ",,,,,,Ignore. ,,,,,,,0.9243631945,,0.0771,This is 20220912A (R117),zphot= 0.17119311 +- 0.0463336810818657 PS1_STRM_WISE; Ravi et al 2023 zspec = 0.0771,Pan-STARRS 166443472702098523,0.0001
321375070,20230923A,918.33,206.6141041,45.40800828,,,,,,,,,,,,,,,0.702269302,,0.481,,"0.140, 0.964, Note: PATH has missed a big galaxy -- re-calculate PATH probability and add it back in. I'll assume it is the middle of the three galaxies it is overlapping (z = 0.9, 0.4,0.1)",DECaL 8797229689078223,0.068
325140573,20231005A,188.8,246.0280041,35.44871213,,"Very bright, lowz, low DM. Can do DM budgeting v well. ",,,,,,"Highish RM.. Are scat and RM coming from the same (local) media? Peak at 0 in FDF is always gonna be there, because it doesn't fit out inst delay. ",,,,,,,0.9972578398,,0.1032,,V/147/SDSS12,,0.0001
339589360,20231128A,332.4,199.5782006,42.9927075,,"R34, check with Alice. See what host looks like for this one. Run Adaeze's code to see if there is a VLASS source here. ",,,,,,,,,,,,,0.9888841592,,0.1078,,source=J/ApJS/223/20/spec (SDSS),,0.0001
342256558,20231204A,222,207.9990337,48.11599668,,"R17, check with Alice. See what host looks like for this one. Run Adaeze's code to see if there is a VLASS source here.",,,,,,,,,,,,,0.9792129232,,0.0639,,Lordrick-z. No PATH plot on Github yet as of 4/24/2024,,0.0001
347082860,20231223C,179.54,259.5446492,29.49793687,,,,,,,,,,,,,,"Run at dsamp 1, there is enough SNR. ",0.9999122394,,0.1059,,SDSS 2016SDSSD.C...0000,,0.0001
348537586,20231230A,131.42,72.79761078,2.393975025,,Analyse this one. Near-by FRB with P(O|X) underestimated. ,,,,,,,,,,,,,0.8384487576,,0.0298,https://simbad.cds.unistra.fr/simbad/sim-coo?Coord=72.78908466d+%2B2.36809089d&CooFrame=FK5&CooEpoch=2000&CooEqui=2000&CooDefinedFrames=none&Radius=2&Radius.unit=arcmin&submit=submit+query&CoordList=,specz = 0.0298 from 1991RC3.9.C...0000d,Pan-STARRS 110840727890932146,0.002
313479875,20230828A,377.3,22.28681752,34.42965765,,,,,,,,,,,,,,,0.464,,0.106,,from SDSS; https://www.legacysurvey.org/viewer?ra=259.5444&dec=29.4959&layer=ls-dr9&zoom=16 ,Pan-STARRS 149310222853880757,0.0001
300895079,20230702A,598.9,132.124448,26.38951443,,,,,,,,,,,,,,,0.8560573789,,0.5009,,z from F4; V/154/sdss16,DECaL 8796124371222879,0.0001
281936786,20230409B,408.8,148.5490301,61.1478697,,,,,,,,,,,,,,,0.6946104292,,0.3002,,0.25446463 +- 0.1105314478914; from PS1_STRM; 0.3002 from F4PZ website; 0.3002 specz from SDSS,Pan-STARRS 181381485505907375,0.0001
