name,classification,reference,alt_names,position note,redshift,ra_hms,dec_dms,ra_decimal,dec_decimal,central_freq,resolution_megalambda,imaged?,peak_flux_jy,total_flux_jy,flux_percent_err,source
,,clark1975,,,,,,,,111,0.944055,,3.9,,B,
,,clark1975,,,,,,,,196,1.66698,,6.3,,C,
J1230-1139 ,quasar,rampadarath2009, 1228-113 ,,3.528, 12h30m55.556s , -11d39m09.796s  ,187.731483333333,-11.652721111111,327,,,-1,-1,,
J1243+1622 ,quasar,rampadarath2009, 3C275.1  ,,0.5551, 12h43m57.657s ,  +16d22m53.440s  ,190.990237500000,16.381511111111,327,2, Y ,0.422,1.413,,
J1331+3030 ,galaxy,rampadarath2009,3C286 ,,0.586, 13h31m08.288s , +30d30m32.959s  ,202.784533333333,30.509155277778,327,9.5, Y ,6.289,16.926,,
,,clark1975,,,,,,,,74,0.62937,,7.4,,B,
,,clark1975,,,,,,,,111,0.944055,,12.1,,B,
,,clark1975,,,,,,,,196,1.66698,,13.6,,B,
J133037.6+250910,quasar,clark1975,3C 287,,,13 30 37.69519489 ,25 09 10.9444439,202.657063310000,25.153040120000,74,0.62937,,6.8,,A,
,,clark1975,,,,,,,,111,0.944055,,7.6,,B,
,,clark1975,,,,,,,,196,1.66698,,7,,B,
J134733.3+121724,galaxy,clark1975,PKS 1345+12; 4C 12.50,,,13 47 33.36161873, 12 17 24.2398927,206.889006740000,12.290066640000,111,0.944055,,1.4,,B,
,,clark1975,,,,,,,,196,1.66698,,3.4,,A,
NVSS J134740+003508,radio source,clark1975,4C 00.47,,,,,,,111,0.944055,,1.3,,E,
,,clark1975,,,,,,,,196,1.66698,,2,,C,
J1419+0628,quasar,clark1975,3C 298;  J141908.1+062834,,,14 19 08.18014667,06 28 34.8033973,214.784083940000,6.476334280000,74,0.62937,,2.2,,B,
,,clark1975,,,,,,,,111,0.944055,,2,,B,
,,clark1975,,,,,,,,196,1.66698,,1.7,,C,
J1333+1649 ,quasar ,rampadarath2009, 1331+170 ,,2.084, 13h33m35.783s , +16d49m04.015s  ,203.399095833333,16.817781944445,327,6, Y ,0.043,0.474,,
J1512-0905 ,quasar ,rampadarath2009, 1510-089 ,,0.36,  15h12m50.533s , -09d05m59.829s  ,228.210554166667,-9.099952500000,327,9.5, Y ,0.48,0.611,,
J1619+2247 ,quasar ,rampadarath2009, - ,,1.987, 16h19m14.825s , +22d47m47.85s  ,244.811770833333,22.796625000000,327,2.5, N ,-1,-1,,
J1624+2345 ,quasar ,rampadarath2009, 3C336 ,,0.927398, 16h24m39.088s  ,  +23d45m12.240s  ,246.162866666667,23.753400000000,327,4.5,  N ,-1,-1,,
J1642+3948 ,quasar ,rampadarath2009, 3C345  ,,0.5928,  16h42m58.810s ,  +39d48m36.994s  ,250.745041666667,39.810276111111,327,9.5, Y ,2.952,3.492,,
J1746+6226 ,quasar ,rampadarath2009, 4C+62.29 ,,3.889, 17h46m14.034s  , +62d26m54.738s  ,266.558475,62.448538333333,327,6.5, Y ,0.038,0.131,,
J1816+3457 ,galaxy,rampadarath2009, - ,,0.2448, 18h16m23.901s  ,  +34d57m45.748s  ,274.0995875,34.962707777778,327,6, Y ,0.44,0.729,,
J1821+3945 ,radio source,rampadarath2009, - ,, - , 18h21m59.701s  , +39d45m59.657s  ,275.498754166667,39.766571388889,327,5, Y ,1.748,3.974,,
J1829+4844 ,quasar ,rampadarath2009, 3C380 ,,0.692, 18h29m31.739s , +48d44m46.971s  ,277.382245833333,48.746380833333,327,8, Y ,2.948,3.88,,
J1902+3159 ,quasar ,rampadarath2009, 3C395 ,,0.635, 19h02m55.939s , +31d59m41.702s  ,285.733079166667,31.994917222222,327,5, Y ,0.842,2.1,,
J1924+3329 ,radio source,rampadarath2009, 4C+33.48  ,, - ,  19h24m17.476s  ,  +33d29m29.484s  ,291.072816666667,33.491523333333,327,2, Y ,0.826,0.94,,
J1959+4044 ,quasar ,rampadarath2009, Cygnus-A ,,0.056075, 19h59m28.357s , +40d44m02.097s  ,299.868154166667,40.733915833333,327,0.3, N ,-1,-1,,
J2005+7752 ,blazar,rampadarath2009, 2007+777 ,,0.342,  20h05m30.999s  ,  +77d52m43.248s  ,301.3791625,77.878680000000,327,6, Y ,0.508,0.602,,
J2007+4029 ,quasar ,rampadarath2009, 2005+403  ,,1.736,  20h07m44.945s ,  +40d29m48.604s  ,301.937270833333,40.496834444445,327,,,-1,-1,,
J2022+6136 ,galaxy,rampadarath2009, - ,,0.227, 20h22m06.682s , +61d36m58.805s  ,305.527841666667,61.616334722222,327,9.5, Y ,0.635,0.99,,
J2038+5119 ,quasar ,rampadarath2009, 3C418 ,,1.686, 20h38m37.035s  , +51d19m12.663s  ,309.6543125,51.320184166667,327,4, Y ,1.234,3.32,,
J2202+4216 ,blazar,rampadarath2009, BL Lac  ,,0.0686, 22h02m43.291s ,  +42d16m39.980s  ,330.680379166667,42.277772222222,327,6, Y ,0.938,1.798,,
J2253+1608 ,blazar,rampadarath2009, 3C454.3; ICRF J225357.7+160853 ,,0.859, 22h53m57.748s , +16d08m53.561s  ,343.490616666667,16.148211388889,327,9, Y ,5.3,8.659,,
,,clark1975,,,,,,,,111,0.944055,,1,,D,
J231635.1+040518,galaxy,clark1975,3C 459; 4C 03.57,,,23 16 35.19492726,04 05 18.2997470,349.146645530000,4.088416600000,111,0.944055,,0.7,,D,
J2322+0812 ,quasar ,rampadarath2009, 2320+079 ,,2.09, 23h22m36.089s , +08d12m01.593s  ,350.650370833333,8.200442500000,327,,,-1,-1,,
J2327+0846 ,galaxy,rampadarath2009, NGC7674 ,,0.028924, 23h27m56.710s , +08d46m44.135s  ,351.986291666667,8.778926388889,327,1.8, N ,-1,-1,,
J2327+0940 ,quasar ,rampadarath2009, - ,,1.843, 23h27m33.581s , +09d40m09.463s  ,351.889920833333,9.669295277778,327,7, Y ,0.317,0.396,,
J2330+1100 ,quasar ,rampadarath2009, - ,,1.489, 23h30m40.852s , +11d00m18.710s  ,352.670216666667,11.005197222222,327,9, Y ,0.774,0.844,,
J2334+0736,quasar ,rampadarath2009, - ,, - , 23h34m12.828s , +07d36m27.552s  ,353.55345,7.607653333333,327,-1,N,-1,-1,,
J2336+2828 ,radio source,rampadarath2009, - ,, - , 23h36m22.471s , +28d28m57.413s  ,354.093629166667,28.482614722222,327,-1,N,-1,-1,,
J2344+3433 ,quasar ,rampadarath2009, 2342+342 ,,3.053, 23h44m51.254s , +34d33m48.640s  ,356.213558333333,34.563511111111,327,-1,N,-1,-1,,
J022610.3+342130,quasar,lenc2008,WN B0223.1+3408,,,02h26m10.33325265s,+34d21m30.2874853s,36.543055219375,34.358413190361,324,2.5,Y,3.678,3.793,,
NVSS J022636+355545,radio source,lenc2008,WN B0223.5+3542; 4C 35.04,,,02h 26m36.14s,+35d55m46.2s,36.6505833333333,35.929500000000,324,0.5,Y,1.73,1.758,,
J022105.4+355613,blazar,lenc2008,WN B0218.0+3542,,,02h21m05.46824659s,+35d56m13.7365248s,35.2727843607917,35.937149034667,324,0.5,Y,2.46,2.534,,
WN B0221.9+3417,radio source,lenc2008,WN B0221.9+3417,,,02h 24m56.18s,+34d30m35.8s ,36.2340833333333,34.509944444445,324,1,Y,1.638,1.657,,
NVSS J023042+333801,,lenc2008,WN B0227.7+3324,,,02h 30m42.60s,+33d37m59.8s,37.6775,33.633277777778,324,0.75,Y,0.996,1.029,,
NVSS J023159+344227,,lenc2008,WN B0228.9+3429,,,02h 31m59.53s,+34d42m26.7s,37.9980416666667,34.707416666667,324,0.75,Y,2.361,2.556,,
NVSS J023228+342405,quasar,lenc2008,WN B0229.4+3410; 3C 68.1,,,02h32m28.67s,+34d24m03.0s,38.1194583333333,34.400833333333,324,0.75,Y,9.334,9.459,,
NVSS J021948+334818,galaxy,lenc2008,WN B0216.8+3334,,,02h19m48.77s,+33d48m16.0s,34.9532083333333,33.804444444445,324,0.75,Y,1.352,1.357,,
NVSS J022636+355545,radio source,lenc2008,WN B0223.5+3542,,,02h26m36.14s,+35d55m46.2s ,36.6505833333333,35.929500000000,324,0.5,Y,1.73,1.758,,
NVSS J023229+353055,radio source,lenc2008,WN B0229.4+3517,,,02h32m29.32s,+35d30m53.6s,38.1221666666667,35.514888888889,324,0.5,Y,2.149,2.359,,
J022105.4+355613,BL Lac,lenc2008,WN B0218.0+3542,,,02h21m05.46824659s,+35d56m13.7365248s,35.2727843607917,35.937149034667,324,0.5,Y,2.534,2.46,,
NVSS J021735+351722,radio source,lenc2008,WN B0214.5+3503,,,02h17m35.04s,+35d17m22.6s,34.396,35.289611111111,324,0.5,Y,1.092,1.146,,
J0220+3241,quasar,lenc2008,WN B0217.8+3227,,,02h20m48.05300510s,+32d41m06.4635946s,35.2002208545833,32.685128776278,324,0.5,Y,1.393,1.415,,
NVSS J021828+354958,radio source,lenc2008,WN B0215.4+3536,,,02h18m28.69s,+35d49m58.6s,34.6195416666667,35.832944444445,324,0.5,Y,1.445,1.401,,
NVSS J021458+350638,radio source,lenc2008,WN B0211.9+3452,,,02h14m58.14s,+35d06m39.5s,33.74225,35.110972222222,324,0.5,Y,3.011,3.084,,
NVSS J022801+370336,radio source,lenc2008,WN B0224.9+3650,,,02h28m01.68s,+37d03m36.3s,37.007,37.060083333333,324,0.5,Y,1.409,1.455,,
NVSS J022813+371258,radio source,lenc2008,WN B0225.1+3659,,,02h28m13.67s,+37d12m57.1s,37.0569583333333,37.215861111111,324,0.5,Y,1.566,1.519,,
NVSS J021518+361755,radio source,lenc2008,WN B0212.2+3604,,,02h15m18.14s,+36d17m57.2s,33.8255833333333,36.299222222222,324,0.75,Y,1.278,1.303,,
NVSS J020938+354750,galaxy,lenc2008,WN B0206.6+3533 ,,,02h09m38.91s,+35d47m48.9s,32.412125,35.796916666667,324,0.5,Y,4.259,5.519,,
J1459+7140,galaxy,chuprikov1999,3C 309.1,,,14h59m07.583919s,+71d40m19.86664s,224.781599660000,71.672185180000,327,3,,,,,
